Google Click ID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
EAIaIQobChMIqNWqiMrIggMV1ReiAx1dtQDuEAAYASAAEgJl9_D_BwE,CRM_Purchase,2023-11-16 19:02:53 +06 Asia/Almaty,0,KZT
EAIaIQobChMIqNWqiMrIggMV1ReiAx1dtQDuEAAYASAAEgJl9_D_BwE,CRM_Purchase,2023-11-16 19:03:06 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyO_tzJLJggMVxxOiAx0gfgYrEAAYASAAEgKqQPD_BwE,CRM_Purchase,2023-11-17 00:27:34 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyO_tzJLJggMVxxOiAx0gfgYrEAAYASAAEgKqQPD_BwE,CRM_Purchase,2023-11-17 00:27:34 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyO_tzJLJggMVxxOiAx0gfgYrEAAYASAAEgKqQPD_BwE,CRM_Purchase,2023-11-17 00:27:36 +06 Asia/Almaty,0,KZT
EAIaIQobChMIs6OdgaHKggMVUFORBR2zdAidEAAYASAAEgIT_vD_BwE,CRM_Purchase,2023-11-17 11:04:37 +06 Asia/Almaty,0,KZT
EAIaIQobChMIs6OdgaHKggMVUFORBR2zdAidEAAYASAAEgIT_vD_BwE,CRM_Purchase,2023-11-17 11:04:39 +06 Asia/Almaty,0,KZT
EAIaIQobChMIs6OdgaHKggMVUFORBR2zdAidEAAYASAAEgIT_vD_BwE,CRM_Purchase,2023-11-17 11:04:42 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:11:51 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:11:52 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:11:54 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:11:54 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:11:54 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:22:34 +06 Asia/Almaty,0,KZT
EAIaIQobChMIt9jwibvKggMV2FuRBR2mww8yEAAYASAAEgLOFPD_BwE,CRM_Purchase,2023-11-17 13:22:36 +06 Asia/Almaty,0,KZT
EAIaIQobChMIwMDLmMnKggMVWwV7Ch185DK8EAAYASAAEgJ0ffD_BwE,CRM_Purchase,2023-11-17 14:04:48 +06 Asia/Almaty,0,KZT
EAIaIQobChMIwMDLmMnKggMVWwV7Ch185DK8EAAYASAAEgJ0ffD_BwE,CRM_Purchase,2023-11-17 14:04:49 +06 Asia/Almaty,0,KZT
EAIaIQobChMIwMDLmMnKggMVWwV7Ch185DK8EAAYASAAEgJ0ffD_BwE,CRM_Purchase,2023-11-17 14:04:49 +06 Asia/Almaty,0,KZT
EAIaIQobChMIwMDLmMnKggMVWwV7Ch185DK8EAAYASAAEgJ0ffD_BwE,CRM_Purchase,2023-11-17 14:04:50 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 16:51:01 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 16:51:15 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 16:51:17 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 16:51:35 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:34:28 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:42:49 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:43:09 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:45:44 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:49:55 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:51:20 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:51:43 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:52:44 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:58:50 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 18:59:30 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:00:13 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:01:50 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:03:02 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:05:06 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:05:23 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:06:00 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:06:56 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:07:39 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:10:50 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:11:24 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:11:49 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:13:28 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:15:31 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:17:27 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:17:54 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:18:09 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:22:25 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:22:38 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:26:54 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 19:27:46 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 20:07:29 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 20:07:52 +06 Asia/Almaty,0,KZT
,CRM_Purchase,2023-11-17 20:29:54 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 20:35:43 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 20:48:10 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 21:32:09 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 21:37:29 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-17 22:04:53 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-18 00:19:23 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-18 00:19:53 +06 Asia/Almaty,0,KZT
EAIaIQobChMI-aiYpd7LggMVUwqiAx0U7gj3EAAYASAAEgKGbPD_BwE,CRM_Purchase,2023-11-18 01:11:17 +06 Asia/Almaty,0,KZT
EAIaIQobChMIjI-RzrTMggMVoReiAx1U_w0-EAAYASAAEgKkwfD_BwE,CRM_Purchase,2023-11-18 07:37:47 +06 Asia/Almaty,0,KZT
EAIaIQobChMIveiswLrMggMV2lWRBR17hQsSEAAYASAAEgKJ0_D_BwE,CRM_Purchase,2023-11-18 08:03:55 +06 Asia/Almaty,1500000,KZT
EAIaIQobChMI0qTt5fPMggMVj1WRBR2n1wgiEAAYASAAEgIf9PD_BwE,CRM_Purchase,2023-11-18 12:20:05 +06 Asia/Almaty,0,KZT
EAIaIQobChMIkaTx1oTNggMV_QWiAx2hvgNnEAAYASAAEgKTuvD_BwE,CRM_Purchase,2023-11-18 13:37:19 +06 Asia/Almaty,0,KZT
